title,Point,View,Review,Star,Type
갓포아키,4.6,"139,667",52,"2,766",이자카야 / 오뎅 / 꼬치
호시쿠,4.6,"14,064",18,429,회 / 스시
고메램,4.6,"80,500",47,"1,381","['스테이크 / 바베큐', '모둠 양갈비\n33,000원\n생 양고기 살치\n26,000원\n생 양고기 등심\n26,000원\n생 숄더랙\n28,000원\n생 티본\n33,000원']"
따띠따띠,4.6,"19,349",15,680,퓨전 양식
무아,4.6,"16,616",12,578,"['퓨전 일식', '디너코스\n110,000원']"
상석,4.6,"15,416",8,447,회 / 스시
레우레우,4.6,"1,839",9,80,태국 음식
쏭타이,4.6,"53,485",22,"1,109","['태국 음식', '쏨탐\n14,000원\n텃만꿍 (4ea)\n15,000원\n팟카파오무쌈\n16,000원\n팟타이\n16,000원\n뿌팟퐁커리\n26,000원']"
히노카츠,4.6,"4,608",7,127,까스 요리
파씨오네,4.5,"531,472",150,"10,423",프랑스 음식
톡톡,4.5,"355,087",170,"8,117",이탈리안
스와니예,4.5,"140,856",91,"3,699",퓨전 양식
길목,4.5,"236,786",144,"6,394",고기 요리
콴안다오,4.5,"283,496",226,"7,072",베트남 음식
와라야키 쿠이신보,4.5,"458,330",132,"9,895",이자카야 / 오뎅 / 꼬치
스시키,4.5,"201,806",47,"4,207","['회 / 스시', '런치 오마카세\n55,000원\n디너 스시오마카세\n110,000원']"
젠제로,4.5,"62,938",218,"3,426",카페 / 디저트
갓포아키,4.5,"442,619",137,"10,380",이자카야 / 오뎅 / 꼬치
칙피스,4.5,"156,343",189,"5,043",세계음식 기타
허머스키친,4.5,"204,879",131,"2,650",세계음식 기타
