title,Point,View,Review,Star,Type
홍명,4.3,"155,810",124,"4,087",정통 중식 / 일반 중식
묵전,4.3,"262,097",167,"6,135",전통 주점 / 포차
야사이마끼 쿠이신보,4.3,"73,897",40,"2,678",이자카야 / 오뎅 / 꼬치
크라이치즈버거,4.3,"105,843",176,"1,787","['브런치 / 버거 / 샌드위치', '크라이치즈버거\n3,600원\n크라이더블치즈버거\n4,900원\nA 세트\n7,700원\nB 세트\n6,400원\n감자튀김\n2,200원']"
바게트K,4.3,"67,309",85,"2,667",베이커리
대우부대찌개,4.3,"239,552",198,"6,076",탕 / 찌개 / 전골
메종드라카테고리,4.3,"152,151",106,"4,823",프랑스 음식
쇼토,4.3,"58,175",93,"2,438","['베이커리', '콜드브루\n5,000원\n프레쉬 수제 레몬에이드\n6,500원\n초코바나나 쇼토\n8,200원\n레몬로브\n3,800원']"
모범갈빗살,4.3,"237,182",94,"4,030","['고기 요리', '한우 특갈빗살 (100g)\n22,000원\n한우 육회\n28,000원\n시골된장죽\n6,000원\n강남갈빗대곰탕 (점심)\n9,000원']"
모터시티,4.3,"112,297",114,"2,198","['기타 양식', '치즈피자\n18,900원\n페페로니\n19,800원\n잭슨 5\n23,900원\n버팔로 치킨 윙\n11,000원\n트러플 투움바 파스타\n19,000원']"
호루몬,4.3,"51,778",41,"1,830","['이자카야 / 오뎅 / 꼬치', '오마카세\n45,000원']"
마일스톤커피,4.3,"83,030",113,"3,580","['카페 / 디저트', '아메리카노\n4,500원\n비엔나커피\n6,000원\n아이스비엔나 라테\n6,000원\n아이스 그린티 비엔나\n6,000원\n수제 마스카포네 티라미수\n7,000원']"
베이크,4.3,"173,937",177,"3,324",카페 / 디저트
일무레또,4.3,"80,562",34,"1,818","['이탈리안', 'Polpo\n32,000원\nTAGLIATELLE AL RAGU\n32,000원\nBISTECCA AI FUNGH\n58,000원\nAGNELLO ALLE ERBE\n74,000원\nFonduta di formaggi\n27,000원원']"
스시인,4.3,"53,504",24,"1,237","['회 / 스시', '런치\n160,000원\n디너\n270,000원']"
고료리 켄,4.3,"94,597",22,"2,458",정통 일식 / 일반 일식
쁠로13,4.3,"87,215",81,"3,159",베이커리
치즈룸,4.3,"63,261",62,"1,719",이탈리안
쎄쎄종,4.3,"59,705",58,"2,246","['카페 / 디저트', '아메리카노\n4,500원\n카페라떼\n5,000원\n오늘의 밀크티\n7,000원\n바닐라타르트\n9,000원\n코코오레\n8,800원']"
파오파오,4.3,"346,218",189,"8,613","['한정식 / 백반 / 정통 한식', '고기만두 (9pcs)\n4,500원\n김치만두 (9pcs)\n4,500원\n새우만두 (6pcs)\n4,500원']"
