title,point,hit,review,star,address,telephone,image
로얄라운지,0,"3,919",2,24,"서울특별시 강남구 논현로 709
지번 서울시 강남구 논현동 36-8",02-514-1247,"https://mp-seoul-image-production-s3.mangoplate.com/281123_1579592009244933.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
So What,0,"3,478",2,58,"서울특별시 강남구 도산대로17길 22
지번 서울시 강남구 신사동 560-6",010-7343-0212,"https://mp-seoul-image-production-s3.mangoplate.com/379609/449685_1554892071154_12092?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
낰낰,0,"1,007",2,19,"서울특별시 강남구 학동로11길 20-7 B2
지번 서울시 강남구 논현동 41-13 B2",0507-1429-9087,"https://mp-seoul-image-production-s3.mangoplate.com/344868_1635924156327998.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인바 컨티뉴엄,0,965,1,18,"서울특별시 강남구 테헤란로 231 EAST E205호
지번 서울시 강남구 역삼동 676 EAST E205호",010-8296-7214,"https://mp-seoul-image-production-s3.mangoplate.com/475149/172778_1654493807126_140856?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
보바베어,0,"14,809",10,92,"서울특별시 강남구 압구정로12길 13 2F
지번 서울시 강남구 신사동 547-2 2F",02-3445-8585,"https://mp-seoul-image-production-s3.mangoplate.com/1663293_1655400246164489.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
개츠비 바이리,0,"4,479",3,107,"서울특별시 강남구 도산대로55길 37 B1
지번 서울시 강남구 청담동 84-14 B1",02-511-2606,"https://mp-seoul-image-production-s3.mangoplate.com/814662_1515121609109601.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
샴,0,"7,522",3,124,"서울특별시 강남구 압구정로46길 5-6
지번 서울시 강남구 신사동 660-17",070-4125-6413,"https://mp-seoul-image-production-s3.mangoplate.com/49585/218307_1461946872844_52113?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
제너릭,0,794,4,26,"서울특별시 강남구 삼성로 730 5F
지번 서울시 강남구 청담동 63-12 5F",0507-1369-2382,"https://mp-seoul-image-production-s3.mangoplate.com/112634_1655197983204073.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
뱀파이어 위켄드 와인바,0,"2,809",2,22,"서울특별시 강남구 삼성로140길 6 라파빌딩 B1
지번 서울시 강남구 청담동 63-11 라파빌딩 B1",02-516-5571,"https://mp-seoul-image-production-s3.mangoplate.com/426996/1575751_1645714756558_37100?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
레브,0,400,2,8,"서울특별시 강남구 언주로172길 54 1F
지번 서울시 강남구 신사동 663 1F",070-4120-5500,"https://mp-seoul-image-production-s3.mangoplate.com/137616_1663332652262763.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
애니오케이션 베이스먼트,0,301,1,17,"서울특별시 강남구 도산대로51길 14 B2
지번 서울시 강남구 신사동 654-12 B2",0507-1430-1471,"https://mp-seoul-image-production-s3.mangoplate.com/498094/26737_1668845325474_1000002801?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
B28,0,"5,050",15,199,"서울특별시 강남구 도산대로55길 24 B1
지번 서울시 강남구 청담동 88-2 B1",010-3402-2828,"https://mp-seoul-image-production-s3.mangoplate.com/1427_1512528994325380.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
비노쿠스테이블,0,"1,855",2,96,"서울특별시 강남구 학동로44길 26
지번 서울시 강남구 논현동 247-7",070-8807-2477,"https://mp-seoul-image-production-s3.mangoplate.com/454164/1134354_1633337358039_4819?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
쿨쉽다이닝,0,870,2,51,"서울특별시 강남구 도산대로25길 43 2F
지번 서울시 강남구 신사동 553-25 2F",010-4695-5425,"https://mp-seoul-image-production-s3.mangoplate.com/2251569_1669687008698765.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
제이앤엘클래식바,0,"5,176",1,46,"서울특별시 강남구 도산대로45길 14
지번 서울시 강남구 신사동 650-16",02-545-0890,"https://mp-seoul-image-production-s3.mangoplate.com/jxsjgguhqf3o4v.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
싸우나 뮤직바,0,"2,056",1,6,"서울특별시 강남구 도산대로87길 11
지번 서울시 강남구 청담동 122-30",02-3448-8897,"https://mp-seoul-image-production-s3.mangoplate.com/1476505_1656471478402394.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
뉴욕바,0,512,1,1,"서울특별시 강남구 강남대로84길 24-4 B1
지번 서울시 강남구 역삼동 827-3 B1",0507-1368-8516,"https://mp-seoul-image-production-s3.mangoplate.com/485177/2231777_1658582459276_20108?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
프레임 FRAME,0,377,1,24,"서울특별시 강남구 도산대로11길 32 2F
지번 서울시 강남구 신사동 535-8 2F",02-499-9731,"https://mp-seoul-image-production-s3.mangoplate.com/576573_1657778486434255.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
와인주막차차,0,"9,070",6,127,"서울특별시 강남구 논현로94길 25-5 화가빌딩 2F
지번 서울시 강남구 역삼동 670-17 화가빌딩 2F",02-554-0722,"https://mp-seoul-image-production-s3.mangoplate.com/13474_1497529987169748.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
노퍼블릭 하우스,0,"2,306",3,19,"서울특별시 강남구 논현로159길 65 3F
지번 서울시 강남구 신사동 545-1 3F",02-540-3714,"https://mp-seoul-image-production-s3.mangoplate.com/343979_1630143841708580.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
