title,Point,View,Review,Star,Type
우밀면옥,4.4,"38,896",25,804,국수 / 면 요리
청우참치,4.4,"53,180",21,"1,168",회 / 스시
챔프커피,4.4,"50,963",36,848,카페 / 디저트
키헤이커피,4.4,"9,367",19,290,카페 / 디저트
쿠시아게진,4.4,"6,233",6,323,기타 일식
오마치슌,4.4,"18,777",15,277,"['정통 일식 / 일반 일식', '모듬사시미(특)\n90,000원\n방어사시미\n70,000원\n생굴조회\n25,000원\n복어가라아게\n24,000원\n우니\n35,000원']"
논현장어,4.4,"61,422",20,"1,503",해산물 요리
트헝뜨,4.4,"3,075",5,197,프랑스 음식
히바치,4.4,"4,121",8,129,회 / 스시
한미옥,4.4,"7,885",7,280,고기 요리
피아마,4.4,"6,177",5,276,칵테일 / 와인
고메램,4.4,"17,141",14,310,고기 요리
스시상현,4.4,"3,538",4,77,회 / 스시
구을가,4.4,"17,753",10,352,고기 요리
브레덴버거,4.4,"2,561",6,153,브런치 / 버거 / 샌드위치
아낙,4.4,"9,839",10,307,한정식 / 백반 / 정통 한식
서백자간장게장,4.4,"13,084",14,282,한정식 / 백반 / 정통 한식
자매수산,4.4,"13,918",10,277,"['해산물 요리', '광어회 (소)\n39,000원\n광어회 (중)\n59,000원\n우럭회 (소)\n40,000원\n우럭회 (중)\n60,000원\n모듬해산물\n49,000원']"
조선델리더부티크,4.4,"9,666",8,177,카페 / 디저트
비네트,4.4,"2,467",5,99,이탈리안
