Title,Point,View,Review,Star,Type
미라이,4.8,510477,127,10338,이자카야 오뎅 꼬치 사시미 종 인  마구로치즈아에  양갈비 스미비 야끼  노도구로 시오 야끼  규 스테이크 
시라카와,4.8,321374,75,6227,이자카야 오뎅 꼬치
페리지,4.8,52571,39,1467,기타 양식 페리지 에끌래어  봉골레  아뇰로띠  안다리노 윗 랍스타  텐더로인 
상진식감,4.8,30936,41,878,까스 요리
맛짱조개,4.8,130259,64,3855,해산물 요리 조개찜 중  해물모듬  가리비숙회  포뜬산오징어  해물라면 
스시카나에,4.7,388309,105,6100,회 스시
BISTROT de YOUNTVILLE,4.7,383255,156,8018,프랑스 음식
알라프리마,4.7,254818,87,5114,이탈리안
마루심,4.7,511594,222,9504,돈부리 일본 카레 벤토 히쯔마부시  우나동  장어 한마리 정식  장어소금구이 한마리  회정식 
패티앤베지스,4.7,58444,88,2092,브런치 버거 샌드위치 클래식 버거  시그니처 치즈 버거  머쉬룸 치즈 버거  치폴레 핫 치킨과 블루치즈 딥  크리미 머쉬룸 맥앤치즈 
일리조,4.7,74899,58,2000,이탈리안 알리오올리오  봉골레파스타  포르치니파스타  라구파스타  꼬토파스타 
매덕스피자,4.7,107669,80,3120,기타 양식
까폼,4.7,84644,69,2535,태국 음식 똠양꿍  뿌님팟퐁커리  랭쎕  커무양  카무 
원디그리노스,4.7,16061,35,598,다국적 아시아 음식
삐아프,4.7,168509,85,4267,카페 디저트 봉봉 구 세트  봉봉 구 세트  봉봉 구 세트  봉봉 구 세트 
스시렌,4.7,17832,16,338,회 스시 런치 오마카세  디너 오마카세 
사브서울,4.7,22893,25,788,칵테일 와인 대왕문어 카르파쵸  비트앤엔다이브  라비올로디우보  한우채끝스테이크  생선스튜 
빈호,4.7,4902,7,244,퓨전 양식
한상더테이블,4.7,5876,8,201,퓨전 한식
반티엔야오카오위,4.7,57348,32,782,기타 중식 마라카오위  칭화지아오 카오위  마라카오위 세트  쏸차이 카오위  마늘향 카오위 
진미평양냉면,4.6,234776,329,6912,국수 면 요리
스시코우지,4.6,313246,96,6022,회 스시 런치 스시오마카세 카운터  디너 오마카세 카운터  런치 사시미 오마카세 카운터  런치 스시오마카세 룸  디너 오마카세 룸 
이치에,4.6,630258,174,14785,이자카야 오뎅 꼬치 사시미모리아와세 인  아마에비  혼마구로  호다테후라이  멘치카츠 
가담,4.6,304973,152,6240,정통 중식 일반 중식 가담정식  고추탕수육  오향장육  깐풍기  유린기 
로바타탄요,4.6,236584,95,6740,정통 일식 일반 일식
껠끄쇼즈,4.6,177246,145,4910,카페 디저트
가디록,4.6,158676,65,4529,이탈리안
농민백암왕순대,4.6,525776,273,8746,탕 찌개 전골
롸카두들내쉬빌핫치킨,4.6,120268,115,4140,브런치 버거 샌드위치
페어링룸,4.6,82088,95,2013,이탈리안
카츠바이콘반,4.6,84229,125,3461,까스 요리
슬로우치즈,4.6,158690,75,5872,브런치 버거 샌드위치 모짜렐라 피오르 디 라테 프로슈토 크루도  부라타  아메리카노 
Sogak,4.6,31560,50,830,정통 중식 일반 중식 소각마라탕  소각마라샹궈 소  가지탕수  꿔빠로우 소  지삼선 
오향가,4.6,199647,121,4410,정통 중식 일반 중식 오향족발 대  냉채족발 대  오향장육 대  오향가탕수육 대 
인딕 슬로우,4.6,163056,79,4003,인도 음식
제스트,4.6,14112,28,564,칵테일 와인
미우,4.6,17095,14,618,고기 요리
익스퀴진,4.6,59524,25,2314,퓨전 양식
키겐,4.6,52548,17,1559,기타 일식 특상한우 스키야키코스  특상한우 스키야키단품  살치살 스테이크솥밥  자연산 도미솥밥  갑오징어 먹물솥밥 
엘픽,4.6,16577,14,416,이탈리안
갓포아키,4.6,139667,52,2766,이자카야 오뎅 꼬치
호시쿠,4.6,14064,18,429,회 스시
고메램,4.6,80500,47,1381,스테이크 바베큐 모둠 양갈비  생 양고기 살치  생 양고기 등심  생 숄더랙  생 티본 
따띠따띠,4.6,19349,15,680,퓨전 양식
무아,4.6,16616,12,578,퓨전 일식 디너코스 
상석,4.6,15416,8,447,회 스시
레우레우,4.6,1839,9,80,태국 음식
쏭타이,4.6,53485,22,1109,태국 음식 쏨탐  텃만꿍  팟카파오무쌈  팟타이  뿌팟퐁커리 
히노카츠,4.6,4608,7,127,까스 요리
파씨오네,4.5,531472,150,10423,프랑스 음식
톡톡,4.5,355087,170,8117,이탈리안
스와니예,4.5,140856,91,3699,퓨전 양식
길목,4.5,236786,144,6394,고기 요리
콴안다오,4.5,283496,226,7072,베트남 음식
와라야키 쿠이신보,4.5,458330,132,9895,이자카야 오뎅 꼬치
스시키,4.5,201806,47,4207,회 스시 런치 오마카세  디너 스시오마카세 
젠제로,4.5,62938,218,3426,카페 디저트
갓포아키,4.5,442619,137,10380,이자카야 오뎅 꼬치
칙피스,4.5,156343,189,5043,세계음식 기타
허머스키친,4.5,204879,131,2650,세계음식 기타
임프레션,4.5,51134,31,1701,프랑스 음식
코슌,4.5,42744,24,1345,이자카야 오뎅 꼬치
덕후선생,4.5,42100,57,1143,기타 중식
소이연남마오,4.5,196726,75,4689,태국 음식
고갯마루집,4.5,219125,139,4901,닭 오리 요리 닭도리탕 소  닭도리탕 대  오리주물럭  황기삼계탕  황기닭곰탕 점심 
르뱅룰즈,4.5,20387,37,674,베이커리 꼬숑누와 잠봉뵈르  루꼴라 프로마쥬 잠봉뵈르  토마토 페퍼 먹물 푸가스  무화크림바게트  소금빵 
해목,4.5,31857,37,1031,정통 일식 일반 일식 특히츠마부시  히츠마부시  특카이센동  카이센동  연어 네기도로 
스기타마,4.5,49237,18,1247,이자카야 오뎅 꼬치 유부구이  크림치즈와 슈토  무조림  연근칩  코센 무로카나마겐슈 
신비갈비살,4.5,90633,30,2248,고기 요리 갈비한짝모듬  갈비반짝모듬  한우갈비살 
우제홍참치,4.5,63222,28,1395,회 스시
더그레이트홍연,4.5,9280,10,118,정통 중식 일반 중식
핫쵸,4.5,22074,25,1045,정통 일식 일반 일식
왕스덕,4.5,50644,22,1226,정통 중식 일반 중식
옥토스,4.5,56292,14,844,해산물 요리 활문어코스  활문어숙회  활문어튀김  먹물라면  참소라숙회 
로바타라이브라,4.5,22371,13,709,이자카야 오뎅 꼬치
양재초밥,4.5,46714,30,1016,회 스시
최가네버섯샤브매운탕칼국수,4.5,53704,43,1580,탕 찌개 전골
PIZZA PIZZA,4.5,12653,10,299,기타 양식
르와조,4.5,5384,18,155,카페 디저트
보보식당,4.5,8160,8,441,퓨전 중식
이도,4.5,45009,18,913,이자카야 오뎅 꼬치 성게알크림파스타  총알오징어볶음우동  가츠샌드  갈츠덴뿌라  마살라 새우 
신사치킨클럽,4.5,29529,17,1002,다국적 아시아 음식 치킨카츠  치킨 완탕면  물교자  감자사라다  치킨 난반 
계인전 보타니카,4.5,409,7,26,닭 오리 요리
비스테까,4.5,32784,28,559,카페 디저트
비야게레로,4.4,200913,341,5786,남미 음식
드링크얼랏,4.4,298004,237,9062,카페 디저트 러쉬  데이지  블랑  스트로베리 치즈케이크  라벤더라떼 
꼼다비뛰드,4.4,275192,160,6980,베이커리 구겔호프  바브카 카디엄  스콘  바스크치즈케이크  바닐라파운드 
지아니스나폴리,4.4,378403,295,8867,이탈리안 감베리 크레마  봉골레 프레스케  포치니 만조 크림 리조또  레지나 알 포르노  디아블라 
골드피쉬딤섬퀴진,4.4,331556,255,11182,딤섬 만두 새우딤섬  구채교  소룡포  쇼마이  골드피쉬 탕수육 
정돈 프리미엄,4.4,184584,230,4276,까스 요리 로스카츠  상 로스카츠 
중앙해장,4.4,426821,315,6591,탕 찌개 전골
봉밀가,4.4,72508,134,1774,국수 면 요리 평양메밀물국수  평양메밀비빔국수  뜨거운돌메밀국수  뜨거운돌냄비우동  메밀전 
장스테이크,4.4,385552,151,8236,스테이크 바베큐 한우안심스테이크  한우꽃등심스테이크  한우채끝등심스테이크  런치스테이크코스  디너스테이크코스 
밍글스,4.4,118859,75,3663,퓨전 한식
길버트버거앤프라이즈,4.4,269185,304,9336,브런치 버거 샌드위치
경천애인 2237,4.4,517876,164,8163,고기 요리 경애등안채  소갈비살  꽃등심  특안심  스페셜육회 
김수사,4.4,152520,84,3387,회 스시
부타이,4.4,145628,169,3806,정통 일식 일반 일식
136길육미,4.4,135460,121,4617,퓨전 일식
보타르가,4.4,75879,61,1862,이탈리안
스시 나미키,4.4,160504,45,3540,회 스시
육전식당,4.4,232211,150,4268,고기 요리
권숙수,4.4,122093,38,2969,한정식 백반 정통 한식 런치테이스팅코스 숙수상  시그니처 코스 미식상 
새들러하우스,4.4,74029,116,3217,카페 디저트
몽중헌,4.4,249274,84,4017,정통 중식 일반 중식 하교 개  구채교  백채교  마라소룡포  런치 코스 
스시 시미즈,4.4,70256,28,1182,회 스시 런치 오마카세  디너 오마카세 
농민백암순대,4.4,366998,202,7000,탕 찌개 전골
시고로,4.4,49537,40,1756,퓨전 양식
와려,4.4,44611,21,850,정통 일식 일반 일식 런치 오마카세  디너 오마카세 
청류벽,4.4,107406,75,2435,국수 면 요리
뽕나무쟁이,4.4,213742,253,6233,고기 요리 모둠족발 중  뽕족발 중  양념족발 중  쟁반막국수  해물부추전 
더라운드,4.4,33065,31,637,정통 중식 일반 중식     
스시하나레,4.4,12473,19,447,회 스시
스미카,4.4,7883,13,228,회 스시
테일러커피,4.4,58780,102,1757,카페 디저트
리북집,4.4,136994,191,3725,고기 요리
원스타 올드패션드 햄버거,4.4,63345,77,1749,브런치 버거 샌드위치
흐비지떼,4.4,20310,29,844,카페 디저트 피스타치오 마들렌  들깨 휘낭시에  호지차 피칸 마들렌  몽블랑  바니퉁카 
야키토리묵,4.4,23193,18,600,이자카야 오뎅 꼬치
봉산옥,4.4,194424,121,4868,한정식 백반 정통 한식
영동장어,4.4,47536,34,1417,해산물 요리
구테로이테,4.4,10653,45,358,카페 디저트
어물전 청,4.4,32916,20,1276,퓨전 한식
외고집설렁탕,4.4,185174,144,4557,탕 찌개 전골
세야스시,4.4,79723,27,1009,회 스시 런치오마카세  디너오마카세 
압구정공주떡집,4.4,281633,124,4198,카페 디저트
강남진해장,4.4,182789,90,3014,탕 찌개 전골
효계,4.4,58128,22,2197,닭 오리 요리 모듬닭구이  닭구이 모듬  야채모듬구이  연두부찌개  명란구이 
은화계,4.4,25763,24,820,닭 오리 요리
428 레스토랑,4.4,30475,20,881,이탈리안
이타닉가든,4.4,10857,8,280,한정식 백반 정통 한식
서동한우,4.4,68550,20,927,고기 요리
돈불리제담,4.4,42758,22,1051,고기 요리
비스트로앤트로,4.4,11991,15,419,다국적 퓨전 판콘토마테  방어 타르타르  가지튀김  그릴타이거새우  오리가슴살구이 
FOURB,4.4,25522,21,459,카페 디저트
티하우스하다,4.4,6375,6,210,카페 디저트
B3713,4.4,8817,10,248,퓨전 양식
하나샤부정,4.4,103363,39,2092,기타 일식
PDR,4.4,14667,12,770,칵테일 와인
레아,4.4,17271,19,463,이탈리안
우밀면옥,4.4,38896,25,804,국수 면 요리
청우참치,4.4,53180,21,1168,회 스시
챔프커피,4.4,50963,36,848,카페 디저트
키헤이커피,4.4,9367,19,290,카페 디저트
쿠시아게진,4.4,6233,6,323,기타 일식
오마치슌,4.4,18777,15,277,정통 일식 일반 일식 모듬사시미 특  방어사시미  생굴조회  복어가라아게  우니 
논현장어,4.4,61422,20,1503,해산물 요리
트헝뜨,4.4,3075,5,197,프랑스 음식
히바치,4.4,4121,8,129,회 스시
한미옥,4.4,7885,7,280,고기 요리
피아마,4.4,6177,5,276,칵테일 와인
고메램,4.4,17141,14,310,고기 요리
스시상현,4.4,3538,4,77,회 스시
구을가,4.4,17753,10,352,고기 요리
브레덴버거,4.4,2561,6,153,브런치 버거 샌드위치
아낙,4.4,9839,10,307,한정식 백반 정통 한식
서백자간장게장,4.4,13084,14,282,한정식 백반 정통 한식
자매수산,4.4,13918,10,277,해산물 요리 광어회 소  광어회 중  우럭회 소  우럭회 중  모듬해산물 
조선델리더부티크,4.4,9666,8,177,카페 디저트
비네트,4.4,2467,5,99,이탈리안
카츠8,4.4,10005,6,236,까스 요리
히미츠x뱅가드,4.4,1319,4,40,이자카야 오뎅 꼬치
해봉정육,4.4,2423,4,100,고기 요리
정식당,4.3,363483,205,7574,퓨전 한식
파이어벨,4.3,283556,381,8193,브런치 버거 샌드위치 레오버거  루키버거  콜 버거  하바나버거  칠리킹 
다운타우너,4.3,215018,300,7235,브런치 버거 샌드위치
리틀넥,4.3,195061,192,7804,브런치 버거 샌드위치
스시선수,4.3,267157,95,4547,회 스시
로리스더프라임립,4.3,332636,195,5451,스테이크 바베큐 캘리포니아 컷  잉글리쉬 컷  로리 컷  짐브레디 컷  비프보울 컷 
파스토,4.3,198828,111,6139,이탈리안
울프강스테이크하우스,4.3,88423,127,2284,스테이크 바베큐
삼창교자,4.3,86891,110,3213,딤섬 만두
정돈,4.3,307878,230,6729,까스 요리 등심 돈카츠  안심 돈카츠  멘치카츠  스페셜 등심 돈카츠  프리미엄 부타도로 돈카츠 
임병주산동칼국수,4.3,202184,237,5537,국수 면 요리
능라도,4.3,76008,151,2429,국수 면 요리
뜨락,4.3,91802,63,2024,고기 요리 안심  등심  채끝  양념등심  야채모둠 
백년옥,4.3,244996,231,6080,탕 찌개 전골
SOOT (휴업중),4.3,196756,66,5350,퓨전 양식
노란상소갈비,4.3,87364,79,2897,고기 요리
스시사카우,4.3,24997,30,678,정통 일식 일반 일식
홍명,4.3,155810,124,4087,정통 중식 일반 중식
묵전,4.3,262097,167,6135,전통 주점 포차
야사이마끼 쿠이신보,4.3,73897,40,2678,이자카야 오뎅 꼬치
크라이치즈버거,4.3,105843,176,1787,브런치 버거 샌드위치 크라이치즈버거  크라이더블치즈버거  세트  세트  감자튀김 
바게트K,4.3,67309,85,2667,베이커리
대우부대찌개,4.3,239552,198,6076,탕 찌개 전골
메종드라카테고리,4.3,152151,106,4823,프랑스 음식
쇼토,4.3,58175,93,2438,베이커리 콜드브루  프레쉬 수제 레몬에이드  초코바나나 쇼토  레몬로브 
모범갈빗살,4.3,237182,94,4030,고기 요리 한우 특갈빗살  한우 육회  시골된장죽  강남갈빗대곰탕 점심 
모터시티,4.3,112297,114,2198,기타 양식 치즈피자  페페로니  잭슨  버팔로 치킨 윙  트러플 투움바 파스타 
호루몬,4.3,51778,41,1830,이자카야 오뎅 꼬치 오마카세 
마일스톤커피,4.3,83030,113,3580,카페 디저트 아메리카노  비엔나커피  아이스비엔나 라테  아이스 그린티 비엔나  수제 마스카포네 티라미수 
베이크,4.3,173937,177,3324,카페 디저트
