Title,Point,View,Review,Star,Address,Telephone
사브서울,4.7,22918,25,788,"서울특별시 강남구 논현로175길 6 B1
지번 서울시 강남구 신사동 580-5 B1",02-512-4939
제스트,4.6,14118,28,564,"서울특별시 강남구 도산대로55길 26 하늘빌딩 1F
지번 서울시 강남구 청담동 88-1 하늘빌딩 1F",010-3177-8801
PDR,4.4,14679,12,770,"서울특별시 강남구 언주로134길 24 2F
지번 서울시 강남구 논현동 116-1 2F",02-3444-8880
피아마,4.4,6181,5,276,"서울특별시 강남구 도산대로70길 9 2F
지번 서울시 강남구 청담동 13 2F",0507-1307-5434
화이트와인개러지,4.3,20426,17,943,"서울특별시 강남구 삼성로149길 7 B1
지번 서울시 강남구 청담동 12-15 B1",02-540-7560
파인앤코,4.3,12913,14,519,"서울특별시 강남구 선릉로157길 33 B1
지번 서울시 강남구 신사동 657 B1",0507-1335-7434
임바이브,4.3,9122,9,248,"서울특별시 강남구 강남대로124길 3-9 B1
지번 서울시 강남구 논현동 143-9 B1",02-6951-2880
리커테이션,4.3,13418,14,729,"서울특별시 강남구 압구정로10길 13 마사빌딩 B1
지번 서울시 강남구 신사동 532-4 마사빌딩 B1",02-6339-5337
유희,4.3,3145,7,139,"서울특별시 강남구 도산대로11길 31-8 B1
지번 서울시 강남구 신사동 518-14 B1",02-6014-9808
로비라운지바,4.2,34294,37,495,"서울특별시 강남구 테헤란로 521 그랜드인터컨티넨탈 서울 파르나스 1F
지번 서울시 강남구 삼성동 159-8 그랜드인터컨티넨탈 서울 파르나스 1F",02-559-7603
복싱타이거,4.2,18522,21,668,"서울특별시 강남구 강남대로156길 13 B1
지번 서울시 강남구 신사동 510-3 B1",02-540-2399
획,4.2,10472,8,422,"서울특별시 강남구 강남대로156길 31
지번 서울시 강남구 신사동 517-10",0507-1382-8332
작,4.2,13026,9,417,"서울특별시 강남구 논현로95길 14 1F
지번 서울시 강남구 역삼동 640-11 1F",02-501-2342
장생건강원,4.1,22972,81,977,"서울특별시 강남구 강남대로124길 23
지번 서울시 강남구 논현동 145-12",070-7543-1077
르챔버,4.1,188575,97,5697,"서울특별시 강남구 도산대로55길 42 B1
지번 서울시 강남구 청담동 83-4 B1",02-6337-2014
심퍼티쿠시,4.1,16918,20,601,"서울특별시 강남구 강남대로154길 16 1F 101호
지번 서울시 강남구 신사동 512-3 1F 101호",070-7661-2017
커피 바 K,4.1,38283,57,984,"서울특별시 강남구 언주로 517
지번 서울시 강남구 역삼동 675-3",02-516-1970
와인웍스,4.1,22823,11,687,"서울특별시 강남구 압구정로 165 압구정 현대백화점 본점 B1
지번 서울시 강남구 압구정동 429 압구정 현대백화점 본점 B1",02-3449-5490
봉쥬르와인살롱,4.1,7185,10,101,"서울특별시 강남구 강남대로122길 5 유창빌딩
지번 서울시 강남구 논현동 164-12 유창빌딩",02-547-2001
와인소셜,4.1,3539,7,178,"서울특별시 강남구 압구정로46길 71-1 2F
지번 서울시 강남구 신사동 648-23 2F",0507-1445-0604
폴스타,4,45110,50,1509,"서울특별시 강남구 도산대로45길 10-11
지번 서울시 강남구 신사동 648-14",02-514-3450
하이볼가든,4,52079,36,2025,"서울특별시 강남구 논현로161길 39
지번 서울시 강남구 신사동 552-3",070-8886-4636
바챕터원,4,20671,27,681,"서울특별시 강남구 논현로175길 101
지번 서울시 강남구 신사동 525-19",02-543-0308
Tea and Proof,4,15680,15,765,"서울특별시 강남구 양재천로 181
지번 서울시 강남구 도곡동 454",칵테일 / 와인
트웰브,4,28911,20,762,"서울특별시 강남구 압구정로72길 26 B1
지번 서울시 강남구 청담동 95-16 B1",02-548-1201
루팡,4,28321,23,750,"서울특별시 강남구 선릉로160길 5
지번 서울시 강남구 청담동 84-18",02-511-8418
셰막,3.9,256599,123,4252,"서울특별시 강남구 강남대로 442 2F
지번 서울시 강남구 역삼동 814-5 2F",02-3452-7077
레커,3.9,23246,29,211,"서울특별시 강남구 선릉로146길 27-10 1F
지번 서울시 강남구 청담동 20-2 1F",02-543-4707
Bar서랍,3.9,11201,16,246,"서울특별시 강남구 압구정로34길 24 2F
지번 서울시 강남구 신사동 613-9 2F",02-548-3484
벨뷰,3.9,16338,18,209,"서울특별시 강남구 선릉로152길 30 1F
지번 서울시 강남구 청담동 91-3 1F",010-7394-8388
루프탑클라우드,3.9,59570,27,1777,"서울특별시 강남구 테헤란로25길 10 21F
지번 서울시 강남구 역삼동 642 21F",02-2050-6035
몰트바배럴,3.9,26189,23,768,"서울특별시 강남구 삼성로104길 10 이호빌딩 2F
지번 서울시 강남구 삼성동 151-29 이호빌딩 2F",02-568-2589
Bar Tea Scent,3.9,8493,22,356,"서울특별시 강남구 선릉로162길 16 엘리자벳빌딩
지번 서울시 강남구 청담동 83-12 엘리자벳빌딩",02-6052-6579
1914라운지바,3.9,4438,12,64,"서울특별시 강남구 테헤란로 231 조선팰리스 서울강남 F24
지번 서울시 강남구 역삼동 676 조선팰리스 서울강남 F24",02-727-7640
겟올라잇,3.9,19227,10,305,"서울특별시 강남구 도산대로57길 18
지번 서울시 강남구 청담동 89-5",02-547-0895
와인쉬어리,3.9,1510,6,45,"서울특별시 강남구 논현로36길 23 1F
지번 서울시 강남구 도곡동 416-10 1F",02-6012-1382
도라지위스키,3.9,11760,11,368,"서울특별시 강남구 선릉로155길 11 B1
지번 서울시 강남구 신사동 655-5 B1",070-8844-8825
동남방앗간,3.9,18318,10,589,"서울특별시 강남구 언주로154길 16 B1
지번 서울시 강남구 신사동 631-25 B1",02-511-1224
카이포라,3.9,469,4,11,"서울특별시 강남구 도산대로55길 45 B1
지번 서울시 강남구 청담동 84-24 B1",02-544-4389
먼데이블루스,3.8,60584,28,1140,"서울특별시 서초구 강남대로53길 11 서초동삼성쉐르빌2 1F
지번 서울시 서초구 서초동 1330 서초동삼성쉐르빌2 1F",02-521-0542
스틸,3.8,19336,14,718,"서울특별시 강남구 선릉로152길 7 홍경빌딩 B1
지번 서울시 강남구 청담동 85-7 홍경빌딩 B1",02-547-2016
미스터칠드런바,3.8,15893,11,417,"서울특별시 강남구 도산대로55길 43
지번 서울시 강남구 청담동 84-25",02-545-8425
앨리스,3.7,14213,28,559,"서울특별시 강남구 도산대로55길 47
지번 서울시 강남구 청담동 84-20",02-511-8420
르캬바레도산,3.7,18221,14,567,"서울특별시 강남구 도산대로 216 청담에이든호텔 18F
지번 서울시 강남구 논현동 60-8 청담에이든호텔 18F",02-6713-6730
와인웍스,3.7,12967,11,143,"서울특별시 강남구 테헤란로 517 현대백화점무역센터점
지번 서울시 강남구 삼성동 159-7 현대백화점무역센터점",02-3467-6065
어글리,3.7,28286,16,728,"서울특별시 강남구 강남대로96길 5 5F
지번 서울시 강남구 역삼동 816-4 5F",02-501-4222
메리가든,3.7,7899,8,100,"서울특별시 강남구 봉은사로 113 호텔 더 디자이너스 리즈
지번 서울시 강남구 논현동 201-11 호텔 더 디자이너스 리즈",02-517-9702
마녀주방,3.5,52887,86,1092,"서울특별시 강남구 강남대로94길 9
지번 서울시 강남구 역삼동 818-14",070-4240-1116
파복스,3.5,58483,39,1568,"서울특별시 강남구 테헤란로1길 26
지번 서울시 강남구 역삼동 817-10",02-3452-3489
플랫나인,3.5,7140,16,128,"서울특별시 서초구 강남대로65길 10 5F
지번 서울시 서초구 서초동 1308-15 5F",02-532-9630
데노체,3.5,4856,7,74,"서울특별시 강남구 압구정로2길 46 1F
지번 서울시 강남구 신사동 510-11 1F",02-545-4005
오늘와인한잔,3.5,5728,7,46,"서울특별시 강남구 강남대로96길 11-4 B1
지번 서울시 강남구 역삼동 817-16 B1",02-555-0535
컬렉션라운지,3.4,19306,38,453,"서울특별시 강남구 압구정로10길 33
지번 서울시 강남구 신사동 534",070-4229-0050
아브라소812,3.4,10414,14,241,"서울특별시 강남구 봉은사로4길 29 B1
지번 서울시 강남구 역삼동 812 B1",070-8810-0812
와인코르크,3.4,28653,21,625,"서울특별시 강남구 테헤란로1길 28-9
지번 서울시 강남구 역삼동 817-30",02-501-6335
월매네주막,3.4,13597,14,122,"서울특별시 서초구 강남대로 437 1F
지번 서울시 서초구 서초동 1305-3 1F",02-537-6684
고센,3.3,21481,74,356,"서울특별시 강남구 선릉로158길 18
지번 서울시 강남구 청담동 88-23",02-515-1863
엘세뇨르둘세,3.2,6793,14,191,"서울특별시 강남구 도산대로101길 22
지번 서울시 강남구 청담동 128-6",02-516-6157
카페슬로우,3.2,46414,52,933,"서울특별시 서초구 서초대로77길 35 1F
지번 서울시 서초구 서초동 1308-12 1F",02-3482-0111
