title,point,hit,review,star,address,telephone,image
사브서울,4.7,"22,986",25,789,"서울특별시 강남구 논현로175길 6 B1
지번 서울시 강남구 신사동 580-5 B1",02-512-4939,"https://mp-seoul-image-production-s3.mangoplate.com/2196417_1649124497884742.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
제스트,4.6,"14,145",28,564,"서울특별시 강남구 도산대로55길 26 하늘빌딩 1F
지번 서울시 강남구 청담동 88-1 하늘빌딩 1F",010-3177-8801,"https://mp-seoul-image-production-s3.mangoplate.com/1047892_1635373424034393.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
PDR,4.4,"14,714",12,771,"서울특별시 강남구 언주로134길 24 2F
지번 서울시 강남구 논현동 116-1 2F",02-3444-8880,"https://mp-seoul-image-production-s3.mangoplate.com/427448/172778_1626153764162_105705?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
피아마,4.4,"6,206",5,276,"서울특별시 강남구 도산대로70길 9 2F
지번 서울시 강남구 청담동 13 2F",0507-1307-5434,"https://mp-seoul-image-production-s3.mangoplate.com/486805/1100616_1654527236870_40737?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
화이트와인개러지,4.3,"20,435",17,943,"서울특별시 강남구 삼성로149길 7 B1
지번 서울시 강남구 청담동 12-15 B1",02-540-7560,"https://mp-seoul-image-production-s3.mangoplate.com/872233_1624526933728285.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
파인앤코,4.3,"12,927",14,519,"서울특별시 강남구 선릉로157길 33 B1
지번 서울시 강남구 신사동 657 B1",0507-1335-7434,"https://mp-seoul-image-production-s3.mangoplate.com/1789241_1632494618690449.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
임바이브,4.3,"9,135",9,251,"서울특별시 강남구 강남대로124길 3-9 B1
지번 서울시 강남구 논현동 143-9 B1",02-6951-2880,"https://mp-seoul-image-production-s3.mangoplate.com/479674_1574939194465002.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
리커테이션,4.3,"13,432",14,729,"서울특별시 강남구 압구정로10길 13 마사빌딩 B1
지번 서울시 강남구 신사동 532-4 마사빌딩 B1",02-6339-5337,"https://mp-seoul-image-production-s3.mangoplate.com/158567_1556275370307233.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
유희,4.3,"3,154",7,139,"서울특별시 강남구 도산대로11길 31-8 B1
지번 서울시 강남구 신사동 518-14 B1",02-6014-9808,"https://mp-seoul-image-production-s3.mangoplate.com/716698_1670168770196085.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
로비라운지바,4.2,"34,319",37,495,"서울특별시 강남구 테헤란로 521 그랜드인터컨티넨탈 서울 파르나스 1F
지번 서울시 강남구 삼성동 159-8 그랜드인터컨티넨탈 서울 파르나스 1F",02-559-7603,"https://mp-seoul-image-production-s3.mangoplate.com/1592769_1580093661010956.jpg?fit=around|512:512&crop=512:512;*,*&output-format=jpg&output-quality=80"
