title,point,hit,review,star,address,telephone
폴스타,4.0,"45,111",50,"1,509","서울특별시 강남구 도산대로45길 10-11
지번 서울시 강남구 신사동 648-14",02-514-3450
하이볼가든,4.0,"52,082",36,"2,025","서울특별시 강남구 논현로161길 39
지번 서울시 강남구 신사동 552-3",070-8886-4636
바챕터원,4.0,"20,674",27,681,"서울특별시 강남구 논현로175길 101
지번 서울시 강남구 신사동 525-19",02-543-0308
Tea and Proof,4.0,"15,681",15,765,"서울특별시 강남구 양재천로 181
지번 서울시 강남구 도곡동 454",칵테일 / 와인
트웰브,4.0,"28,912",20,762,"서울특별시 강남구 압구정로72길 26 B1
지번 서울시 강남구 청담동 95-16 B1",02-548-1201
루팡,4.0,"28,322",23,750,"서울특별시 강남구 선릉로160길 5
지번 서울시 강남구 청담동 84-18",02-511-8418
셰막,3.9,"256,604",123,"4,252","서울특별시 강남구 강남대로 442 2F
지번 서울시 강남구 역삼동 814-5 2F",02-3452-7077
레커,3.9,"23,247",29,211,"서울특별시 강남구 선릉로146길 27-10 1F
지번 서울시 강남구 청담동 20-2 1F",02-543-4707
Bar서랍,3.9,"11,202",16,246,"서울특별시 강남구 압구정로34길 24 2F
지번 서울시 강남구 신사동 613-9 2F",02-548-3484
벨뷰,3.9,"16,339",18,209,"서울특별시 강남구 선릉로152길 30 1F
지번 서울시 강남구 청담동 91-3 1F",010-7394-8388
루프탑클라우드,3.9,"59,572",27,"1,777","서울특별시 강남구 테헤란로25길 10 21F
지번 서울시 강남구 역삼동 642 21F",02-2050-6035
몰트바배럴,3.9,"26,191",23,768,"서울특별시 강남구 삼성로104길 10 이호빌딩 2F
지번 서울시 강남구 삼성동 151-29 이호빌딩 2F",02-568-2589
Bar Tea Scent,3.9,"8,494",22,356,"서울특별시 강남구 선릉로162길 16 엘리자벳빌딩
지번 서울시 강남구 청담동 83-12 엘리자벳빌딩",02-6052-6579
1914라운지바,3.9,"4,441",12,64,"서울특별시 강남구 테헤란로 231 조선팰리스 서울강남 F24
지번 서울시 강남구 역삼동 676 조선팰리스 서울강남 F24",02-727-7640
겟올라잇,3.9,"19,228",10,305,"서울특별시 강남구 도산대로57길 18
지번 서울시 강남구 청담동 89-5",02-547-0895
와인쉬어리,3.9,"1,511",6,45,"서울특별시 강남구 논현로36길 23 1F
지번 서울시 강남구 도곡동 416-10 1F",02-6012-1382
도라지위스키,3.9,"11,761",11,368,"서울특별시 강남구 선릉로155길 11 B1
지번 서울시 강남구 신사동 655-5 B1",070-8844-8825
동남방앗간,3.9,"18,319",10,589,"서울특별시 강남구 언주로154길 16 B1
지번 서울시 강남구 신사동 631-25 B1",02-511-1224
카이포라,3.9,470,4,11,"서울특별시 강남구 도산대로55길 45 B1
지번 서울시 강남구 청담동 84-24 B1",02-544-4389
먼데이블루스,3.8,"60,586",28,"1,140","서울특별시 서초구 강남대로53길 11 서초동삼성쉐르빌2 1F
지번 서울시 서초구 서초동 1330 서초동삼성쉐르빌2 1F",02-521-0542
