Title,Point,View,Review,Star,Address,Telephone
베리블라썸,없음,"2,388",2,15,"서울특별시 강남구 선릉로148길 21 1F
지번 서울시 강남구 청담동 2-18 1F",02-3443-8855
이더웨이,없음,"1,056",2,11,"서울특별시 강남구 강남대로124길 3-6 호은빌딩 2F
지번 서울시 강남구 논현동 143-16 호은빌딩 2F",02-6952-0899
육다시구,없음,506,2,17,"서울특별시 강남구 논현로149길 40
지번 서울시 강남구 논현동 6-9",02-6080-4069
라이트룸,없음,121,1,2,"서울특별시 강남구 선릉로157길 20-5 신사빌딩 B1
지번 서울시 강남구 신사동 663-7 신사빌딩 B1",0507-1353-8414
스몰치즈박스,없음,63,1,0,"서울특별시 강남구 논현로159길 25 102호
지번 서울시 강남구 신사동 566-6 102호",0507-1326-6514
원가바,없음,"12,341",8,125,"서울특별시 강남구 강남대로94길 23 3F
지번 서울시 강남구 역삼동 818-7 3F",02-557-3226
세이버리,없음,"7,656",5,41,"서울특별시 강남구 테헤란로19길 21
지번 서울시 강남구 역삼동 637-29",070-4115-8668
그레이트후카바,없음,"8,246",4,53,"서울특별시 서초구 서초대로77길 37 서초동월드 401호
지번 서울시 서초구 서초동 1308-10 서초동월드 401호",02-6247-0808
서울살롱,없음,"4,806",4,73,"서울특별시 강남구 언주로164길 41 B1
지번 서울시 강남구 신사동 646-22 B1",010-9120-6706
오늘와인한잔,없음,"1,798",4,9,"서울특별시 강남구 봉은사로1길 33 논현빌딩 1F
지번 서울시 강남구 논현동 165-13 논현빌딩 1F",02-540-5156
미스터사이몬,없음,"2,156",4,22,"서울특별시 강남구 선릉로155길 13-1 1F
지번 서울시 강남구 신사동 655-7 1F",02-3445-6108
바러프,없음,567,1,8,"서울특별시 강남구 선릉로155길 12 104호
지번 서울시 강남구 신사동 657-1 104호",010-6463-3226
나인오어,없음,94,1,10,"서울특별시 강남구 테헤란로104길 19
지번 서울시 강남구 대치동 1000",칵테일 / 와인
파티피플,없음,7,1,0,"서울특별시 강남구 도산대로 429 1F
지번 서울시 강남구 청담동 91-8 1F",0507-1332-5682
Kompakt Record Bar,없음,"6,672",7,126,"서울특별시 강남구 도산대로25길 46
지번 서울시 강남구 신사동 566-1",010-2718-5866
파복스,없음,"5,095",6,78,"서울특별시 강남구 논현로151길 17 1F
지번 서울시 강남구 신사동 563-18 1F",02-3444-5684
매니아스트리트,없음,"5,285",2,83,"서울특별시 강남구 압구정로2길 57 1F
지번 서울시 강남구 신사동 516-18 1F",010-3862-5516
오디언스,없음,"1,230",2,20,"서울특별시 강남구 도산대로45길 8-8 B1
지번 서울시 강남구 신사동 651-9 B1",070-8802-0380
비노아미쿠스,없음,470,1,10,"서울특별시 강남구 양재천로 191 105-1호
지번 서울시 강남구 도곡동 454-5 105-1호",02-574-0988
까사델비노,없음,"12,404",8,179,"서울특별시 강남구 선릉로162길 43
지번 서울시 강남구 청담동 80-5",02-542-8003
